,link,Product_Name,RAM,SSD,Price,Previous_Price,Promote,Gift,Status
58,https://www.thegioididong.com/laptop/acer-aspire-lite-15-51m-5542-i5-nxks5sv001,Trả góp 0%     Tặng Office              Acer Aspire Lite 15 51M 5542 i5 1155G7 (NX.KS5SV.001)           RAM 16 GB SSD 512 GB  11.490.000₫  13.990.000₫ -17%  Quà 1.090.000₫,16 GB,512 GB,11.490.000,13.990.000,-17%,1.090.000,0
59,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa,Trả góp 0%     Tặng Office              HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA)           RAM 16 GB SSD 512 GB  22.790.000₫  25.290.000₫ -9%  Quà 1.190.000₫,16 GB,512 GB,22.790.000,25.290.000,-9%,1.190.000,0
60,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2,Trả góp 0%                  Dell Vostro 15 3520 i5 1235U (5M2TT2)           RAM 8 GB SSD 512 GB  15.490.000₫ Quà 100.000₫,8 GB,512 GB,15.490.000,N/A,N/A,N/A,0
61,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,Trả góp 0%      Tặng Office              MSI Modern 15 B12MO i5 1235U (625VN)           RAM 8 GB SSD 512 GB  11.490.000₫  13.990.000₫ -17%  Quà 1.090.000₫,8 GB,512 GB,11.490.000,13.990.000,-17%,1.090.000,0
62,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa,Trả góp 0%     Tặng Office              HP Pavilion X360 14 ek2024TU Core 5 120U (9Z2V6PA)           RAM 16 GB SSD 512 GB  23.690.000₫  24.990.000₫ -5%  Quà 1.190.000₫,16 GB,512 GB,23.690.000,24.990.000,-5%,1.190.000,0
63,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-15iru9-core-5-83d0000evn?utm_flashsale=1,Trả góp 0%     Tặng Office              Lenovo Ideapad Slim 5 15IRU9 Core 5 120U (83D0000EVN)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 17.990.000₫  21.690.000₫ -17%  Quà 1.090.000₫,16 GB,512 GB,17.990.000,21.690.000,-17%,1.090.000,0
64,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00dbvn,Trả góp 0%     Tặng Office              Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN)           RAM 24 GB SSD 512 GB  21.290.000₫  23.490.000₫ -9%  Quà 1.090.000₫,24 GB,512 GB,21.290.000,23.490.000,-9%,1.090.000,0
65,https://www.thegioididong.com/laptop/asus-fx507zc4-i7-hn181w,Trả góp 0%     Tặng Office              Asus TUF Gaming F15 FX507ZC4 i7 12700H (HN181W)           RAM 16 GB SSD 512 GB  23.490.000₫  26.990.000₫ -12%  Quà 1.090.000₫,16 GB,512 GB,23.490.000,26.990.000,-12%,1.090.000,0
66,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,Trả góp 0%     Tặng Office              Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B)           RAM 8 GB SSD 512 GB  12.490.000₫  15.990.000₫ -21%  Quà 1.090.000₫,8 GB,512 GB,12.490.000,15.990.000,-21%,1.090.000,0
67,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,Trả góp 0%      Tặng Office              Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003)           RAM 8 GB SSD 512 GB  9.990.000₫  13.090.000₫ -23%  Quà 1.090.000₫,8 GB,512 GB,9.990.000,13.090.000,-23%,1.090.000,0
